description,alertlevel,alertscore,episodealertlevel,episodealertscore,fromdate,todate,severity,severitytext,source,iso3,GDACS ID,Exposed countries,Exposed population,Maximum wind speed (km/h),Maximum storm surge (m),Vulnerability,longitude,latitude,Category
Green Tropical Cyclone ATSANI-15 off-shore from: 14 Aug 2015  to: 25 Aug 2015 .,Green,1.0,Green,1.0,2015-08-14 06:00:00,2015-08-25 00:00:00,259.2576,Tropical Storm (maximum wind speed of 259 km/h),JTWC,-1,n.a,Off-shore,0.0,259.0,-1.0,-1,155.8,35.2,5.0
"Green Tropical Cyclone DANNY-15 in Dominica, Martinique, Guadeloupe, Montserrat from: 18 Aug 2015  to: 24 Aug 2015 .",Green,1.0,Green,1.0,2015-08-18 15:00:00,2015-08-24 09:00:00,175.9248,Tropical Storm (maximum wind speed of 185 km/h),NOAA,DMA,n.a,"Dominica, Martinique, Guadeloupe, Montserrat",0.0,176.0,0.2,High,-60.5,15.8,2.0
Green Tropical Cyclone JOAQUIN-15 in Bahamas from: 28 Sep 2015  to: 08 Oct 2015 .,Green,1.0,Green,1.0,2015-09-28 03:00:00,2015-10-08 03:00:00,249.9984,Tropical Storm (maximum wind speed of 250 km/h),NOAA,BHS,n.a,Bahamas,0.0,250.0,-1.0,Low,-37.0,42.0,4.0
Green Tropical Cyclone MARTY-15 in Mexico from: 26 Sep 2015  to: 01 Oct 2015 .,Green,1.0,Green,1.0,2015-09-26 21:00:00,2015-10-01 09:00:00,129.6288,Tropical Depression (maximum wind speed of 130 km/h),NOAA,MEX,n.a,Mexico,0.0,130.0,-1.0,Medium,-104.4,16.7,1.0
Green Tropical Cyclone NIALA-15 off-shore from: 25 Sep 2015  to: 29 Sep 2015 .,Green,1.0,Green,1.0,2015-09-25 03:00:00,2015-09-29 03:00:00,101.8512,Tropical Depression (maximum wind speed of 102 km/h),NOAA,-1,n.a,Off-shore,0.0,102.0,-1.0,-1,-158.8,15.5,-1.0
"Red Tropical Cyclone DUJUAN-15 in Japan, China from: 21 Sep 2015  to: 29 Sep 2015 .",Red,3.0,Orange,2.0,2015-09-21 18:00:00,2015-09-29 00:00:00,240.7392,Hurricane/Typhoon > 74 mph (maximum wind speed of 231 km/h),JTWC,JPN,n.a,"Japan, China",1000000.0,241.0,2.4,Medium,119.1,25.0,4.0
Green Tropical Cyclone IDA-15 off-shore from: 18 Sep 2015  to: 27 Sep 2015 .,Green,1.0,Green,1.0,2015-09-18 15:00:00,2015-09-27 21:00:00,120.3696,Tropical Depression (maximum wind speed of 83 km/h),NOAA,-1,n.a,Off-shore,0.0,120.0,-1.0,-1,-48.7,24.5,1.0
Orange Tropical Cyclone CHAPALA-15 off-shore from: 28 Oct 2015  to: 03 Nov 2015 .,Orange,2.0,Green,1.0,2015-10-28 18:00:00,2015-11-03 18:00:00,222.2208,Tropical Storm (maximum wind speed of 250 km/h),JTWC,-1,n.a,Off-shore,340000.0,222.0,0.4,-1,47.5,14.2,4.0
Green Tropical Cyclone OLAF-15 off-shore from: 15 Oct 2015  to: 27 Oct 2015 .,Green,1.0,Green,1.0,2015-10-15 03:00:00,2015-10-27 15:00:00,249.9984,Tropical Storm (maximum wind speed of 241 km/h),NOAA,-1,n.a,Off-shore,0.0,250.0,-1.0,-1,-135.1,26.7,4.0
Red Tropical Cyclone PATRICIA-15 off-shore from: 20 Oct 2015  to: 24 Oct 2015 .,Red,3.0,Green,1.0,2015-10-20 15:00:00,2015-10-24 21:00:00,333.3312,Tropical Depression (maximum wind speed of 324 km/h),NOAA,-1,n.a,Off-shore,410000.0,333.0,1.0,-1,-100.6,25.3,5.0
Green Tropical Cyclone CHAMPI-15 off-shore from: 13 Oct 2015  to: 24 Oct 2015 .,Green,1.0,Green,1.0,2015-10-13 06:00:00,2015-10-24 18:00:00,268.5168,Tropical Storm (maximum wind speed of 241 km/h),JTWC,-1,n.a,Off-shore,0.0,269.0,0.1,-1,155.2,29.6,5.0
Green Tropical Cyclone TUNI-15 off-shore from: 27 Nov 2015  to: 29 Nov 2015 .,Green,1.0,Green,1.0,2015-11-27 18:00:00,2015-11-29 18:00:00,101.8512,Tropical Storm (maximum wind speed of 74 km/h),JTWC,-1,n.a,Off-shore,0.0,102.0,-1.0,-1,-169.3,-17.9,-1.0
Green Tropical Cyclone SANDRA-15 in Mexico from: 23 Nov 2015  to: 28 Nov 2015 .,Green,1.0,Green,1.0,2015-11-23 21:00:00,2015-11-28 12:00:00,231.48,Tropical Depression (maximum wind speed of 231 km/h),NOAA,MEX,n.a,Mexico,0.0,231.0,0.2,Medium,-109.0,21.7,4.0
Green Tropical Cyclone IN-FA-15 off-shore from: 17 Nov 2015  to: 26 Nov 2015 .,Green,1.0,Green,1.0,2015-11-17 00:00:00,2015-11-26 00:00:00,240.7392,Tropical Storm (maximum wind speed of 213 km/h),JTWC,-1,n.a,Off-shore,0.0,241.0,-1.0,-1,138.7,22.6,4.0
Orange Tropical Cyclone ULA-16 off-shore from: 30 Dec 2015  to: 12 Jan 2016 .,Orange,2.0,Green,1.0,2015-12-30 06:00:00,2016-01-12 18:00:00,231.48,Tropical Storm (maximum wind speed of 213 km/h),JTWC,-1,n.a,Off-shore,20000.0,231.0,0.2,-1,175.3,-29.5,4.0
Green Tropical Cyclone NINE-C-16 off-shore from: 31 Dec 2015  to: 01 Jan 2016 .,Green,1.0,Green,1.0,2015-12-31 03:00:00,2016-01-01 15:00:00,74.0736,Tropical Depression (maximum wind speed of 56 km/h),NOAA,-1,n.a,Off-shore,0.0,74.0,-1.0,-1,-177.0,2.2,-1.0
Green Tropical Cyclone STAN-16 off-shore from: 29 Jan 2016  to: 30 Jan 2016 .,Green,1.0,Green,1.0,2016-01-29 00:00:00,2016-01-30 18:00:00,129.6288,Tropical Storm (maximum wind speed of 120 km/h),JTWC,-1,n.a,Off-shore,0.0,130.0,0.8,-1,119.5,-20.1,1.0
Green Tropical Cyclone CORENTIN-16 off-shore from: 21 Jan 2016  to: 25 Jan 2016 .,Green,1.0,Green,1.0,2016-01-21 12:00:00,2016-01-25 12:00:00,175.9248,Tropical Storm (maximum wind speed of 139 km/h),JTWC,-1,n.a,Off-shore,0.0,176.0,-1.0,-1,78.3,-27.0,2.0
Green Tropical Cyclone YALO-16 off-shore from: 25 Feb 2016  to: 26 Feb 2016 .,Green,1.0,Green,1.0,2016-02-25 00:00:00,2016-02-26 12:00:00,101.8512,Tropical Storm (maximum wind speed of 93 km/h),JTWC,-1,n.a,Off-shore,0.0,102.0,-1.0,-1,-150.7,-23.4,-1.0
Red Tropical Cyclone WINSTON-16 in Fiji from: 10 Feb 2016  to: 24 Feb 2016 .,Red,3.0,Green,1.0,2016-02-10 12:00:00,2016-02-24 18:00:00,296.2944,Tropical Storm (maximum wind speed of 296 km/h),JTWC,FJI,n.a,Fiji,230000.0,296.0,0.5,Medium,172.8,-25.2,5.0
Green Tropical Cyclone SEVENTEEN-16 off-shore from: 28 Mar 2016  to: 30 Mar 2016 .,Green,1.0,Green,1.0,2016-03-28 18:00:00,2016-03-30 06:00:00,83.3328,Tropical Storm (maximum wind speed of 74 km/h),JTWC,-1,n.a,Off-shore,0.0,83.0,-1.0,-1,82.9,-25.8,-1.0
Green Tropical Cyclone EMERAUDE-16 off-shore from: 15 Mar 2016  to: 22 Mar 2016 .,Green,1.0,Green,1.0,2016-03-15 18:00:00,2016-03-22 06:00:00,249.9984,Tropical Depression (maximum wind speed of 213 km/h),JTWC,-1,n.a,Off-shore,0.0,250.0,-1.0,-1,86.2,-11.1,4.0
Orange Tropical Cyclone AMOS-16 off-shore from: 20 Apr 2016  to: 24 Apr 2016 .,Orange,2.0,Green,1.0,2016-04-20 00:00:00,2016-04-24 18:00:00,212.9616,Tropical Storm (maximum wind speed of 167 km/h),JTWC,-1,n.a,Off-shore,20000.0,213.0,0.2,-1,-168.4,-14.3,4.0
Green Tropical Cyclone FANTALA-16 off-shore from: 11 Apr 2016  to: 24 Apr 2016 .,Green,1.0,Green,1.0,2016-04-11 18:00:00,2016-04-24 06:00:00,277.776,Tropical Storm (maximum wind speed of 278 km/h),JTWC,-1,n.a,Off-shore,0.0,278.0,-1.0,-1,52.9,-10.5,5.0
Green Tropical Cyclone BONNIE-16 off-shore from: 27 May 2016  to: 05 Jun 2016 .,Green,1.0,Green,1.0,2016-05-27 21:00:00,2016-06-05 03:00:00,74.0736,Tropical Depression (maximum wind speed of 74 km/h),NOAA,-1,n.a,Off-shore,0.0,74.0,-1.0,-1,-63.6,34.7,-1.0
Green Tropical Cyclone TWO-16 off-shore from: 27 Jun 2016  to: 28 Jun 2016 .,Green,1.0,Green,1.0,2016-06-27 00:00:00,2016-06-28 18:00:00,92.592,Tropical Depression (maximum wind speed of 65 km/h),JTWC,-1,n.a,Off-shore,0.0,93.0,-1.0,-1,63.2,20.3,-1.0
Green Tropical Cyclone HOWARD-16 off-shore from: 31 Jul 2016  to: 03 Aug 2016 .,Green,1.0,Green,1.0,2016-07-31 16:30:00,2016-08-03 21:00:00,101.8512,Tropical Depression (maximum wind speed of 93 km/h),NOAA,-1,n.a,Off-shore,0.0,102.0,-1.0,-1,-135.2,21.3,-1.0
Orange Tropical Cyclone NIDA-16 off-shore from: 29 Jul 2016  to: 02 Aug 2016 .,Orange,2.0,Orange,2.0,2016-07-29 12:00:00,2016-08-02 00:00:00,157.4064,Hurricane/Typhoon > 74 mph (maximum wind speed of 148 km/h),JTWC,-1,n.a,Off-shore,1700000.0,157.0,1.8,-1,113.5,22.8,2.0
Green Tropical Cyclone FRANK-16 off-shore from: 21 Jul 2016  to: 28 Jul 2016 .,Green,1.0,Green,1.0,2016-07-21 21:00:00,2016-07-28 21:00:00,138.888,Tropical Depression (maximum wind speed of 139 km/h),NOAA,-1,n.a,Off-shore,0.0,139.0,-1.0,-1,-124.9,24.1,1.0
Green Tropical Cyclone GEORGETTE-16 off-shore from: 21 Jul 2016  to: 27 Jul 2016 .,Green,1.0,Green,1.0,2016-07-21 21:00:00,2016-07-27 15:00:00,212.9616,Tropical Depression (maximum wind speed of 213 km/h),NOAA,-1,n.a,Off-shore,0.0,213.0,-1.0,-1,-129.7,19.5,4.0
Orange Tropical Cyclone MIRINAE-16 off-shore from: 25 Jul 2016  to: 27 Jul 2016 .,Orange,2.0,Orange,2.0,2016-07-25 12:00:00,2016-07-27 12:00:00,83.3328,Tropical Storm (maximum wind speed of 83 km/h),JTWC,-1,n.a,Off-shore,0.0,83.0,-1.0,-1,106.3,20.1,-1.0
Green Tropical Cyclone DARBY-16 off-shore from: 11 Jul 2016  to: 26 Jul 2016 .,Green,1.0,Green,1.0,2016-07-11 21:00:00,2016-07-26 03:00:00,185.184,Tropical Depression (maximum wind speed of 185 km/h),NOAA,-1,n.a,Off-shore,0.0,185.0,0.1,-1,-161.8,22.6,3.0
Green Tropical Cyclone LESTER-16 in United States from: 24 Aug 2016  to: 07 Sep 2016 .,Green,1.0,Green,1.0,2016-08-24 21:00:00,2016-09-07 21:00:00,222.2208,Tropical Storm (maximum wind speed of 222 km/h),NOAA,USA,n.a,United States,0.0,222.0,-1.0,Low,-164.4,39.1,4.0
Green Tropical Cyclone HERMINE-16 in United States from: 28 Aug 2016  to: 06 Sep 2016 .,Green,1.0,Green,1.0,2016-08-28 21:00:00,2016-09-06 18:00:00,129.6288,Tropical Storm (maximum wind speed of 130 km/h),NOAA,USA,n.a,United States,0.0,130.0,3.2,Low,-72.3,39.4,1.0
Green Tropical Cyclone NAMTHEUN-16 in Japan from: 31 Aug 2016  to: 05 Sep 2016 .,Green,1.0,Green,1.0,2016-08-31 12:00:00,2016-09-05 00:00:00,203.7024,Tropical Depression (maximum wind speed of 185 km/h),JTWC,JPN,n.a,Japan,0.0,204.0,0.3,Low,130.4,34.0,3.0
Green Tropical Cyclone GASTON-16 in Portugal from: 22 Aug 2016  to: 03 Sep 2016 .,Green,1.0,Green,1.0,2016-08-22 21:00:00,2016-09-03 09:00:00,194.4432,Tropical Depression (maximum wind speed of 194 km/h),NOAA,PRT,n.a,Portugal,0.0,194.0,0.3,Low,-26.9,40.5,3.0
Green Tropical Cyclone MADELINE-16 in United States from: 26 Aug 2016  to: 03 Sep 2016 .,Green,1.0,Green,1.0,2016-08-26 21:00:00,2016-09-03 03:00:00,212.9616,Tropical Depression (maximum wind speed of 213 km/h),NOAA,USA,n.a,United States,0.0,213.0,-1.0,Low,-165.7,16.6,4.0
Green Tropical Cyclone EIGHT-16 off-shore from: 28 Aug 2016  to: 01 Sep 2016 .,Green,1.0,Green,1.0,2016-08-28 15:00:00,2016-09-01 09:00:00,83.3328,Tropical Depression (maximum wind speed of 56 km/h),NOAA,-1,n.a,Off-shore,0.0,83.0,-1.0,-1,-69.2,38.2,-1.0
Green Tropical Cyclone LIONROCK-16 off-shore from: 18 Aug 2016  to: 30 Aug 2016 .,Green,1.0,Green,1.0,2016-08-18 00:00:00,2016-08-30 18:00:00,222.2208,Tropical Depression (maximum wind speed of 213 km/h),JTWC,-1,n.a,Off-shore,0.0,222.0,0.2,-1,137.3,43.3,4.0
"Red Tropical Cyclone MATTHEW-16 in United States, Bahamas, Cuba, Haiti from: 28 Sep 2016  to: 09 Oct 2016 .",Red,3.0,Green,1.0,2016-09-28 15:00:00,2016-10-09 21:00:00,231.48,Hurricane/Typhoon > 74 mph (maximum wind speed of 259 km/h),NOAA,USA,n.a,"United States, Bahamas, Cuba, Haiti",540000.0,231.0,2.5,High,-72.0,35.4,4.0
"Orange Tropical Cyclone CHABA-16 in Korea, Republic of, Japan from: 28 Sep 2016  to: 05 Oct 2016 .",Orange,2.0,Green,1.0,2016-09-28 00:00:00,2016-10-05 06:00:00,249.9984,Tropical Storm (maximum wind speed of 269 km/h),JTWC,KOR,n.a,"Korea, Republic of, Japan",110000.0,250.0,0.5,Low,131.3,36.2,4.0
Green Tropical Cyclone ULIKA-16 off-shore from: 26 Sep 2016  to: 30 Sep 2016 .,Green,1.0,Green,1.0,2016-09-26 15:00:00,2016-09-30 15:00:00,129.6288,Tropical Depression (maximum wind speed of 120 km/h),NOAA,-1,n.a,Off-shore,0.0,130.0,-1.0,-1,-142.6,18.2,1.0
Green Tropical Cyclone ROSLYN-16 off-shore from: 25 Sep 2016  to: 29 Sep 2016 .,Green,1.0,Green,1.0,2016-09-25 17:00:00,2016-09-29 15:00:00,83.3328,Tropical Depression (maximum wind speed of 83 km/h),NOAA,-1,n.a,Off-shore,0.0,83.0,-1.0,-1,-115.5,23.5,-1.0
Red Tropical Cyclone MEGI-16 in China from: 23 Sep 2016  to: 27 Sep 2016 .,Red,3.0,Orange,2.0,2016-09-23 00:00:00,2016-09-27 18:00:00,212.9616,Hurricane/Typhoon > 74 mph (maximum wind speed of 213 km/h),JTWC,CHN,n.a,China,2600000.0,213.0,2.0,Medium,118.9,25.0,4.0
Green Tropical Cyclone KARL-16 in Bermuda from: 14 Sep 2016  to: 25 Sep 2016 .,Green,1.0,Green,1.0,2016-09-14 15:00:00,2016-09-25 15:00:00,175.9248,Tropical Storm (maximum wind speed of 111 km/h),NOAA,BMU,n.a,Bermuda,0.0,176.0,0.1,Low,-47.9,39.9,2.0
Green Tropical Cyclone LISA-16 off-shore from: 19 Sep 2016  to: 25 Sep 2016 .,Green,1.0,Green,1.0,2016-09-19 21:00:00,2016-09-25 03:00:00,92.592,Tropical Depression (maximum wind speed of 83 km/h),NOAA,-1,n.a,Off-shore,0.0,93.0,-1.0,-1,-40.8,25.8,-1.0
Green Tropical Cyclone SEYMOUR-16 off-shore from: 23 Oct 2016  to: 28 Oct 2016 .,Green,1.0,Green,1.0,2016-10-23 09:00:00,2016-10-28 06:00:00,240.7392,Tropical Storm (maximum wind speed of 241 km/h),JTWC,-1,n.a,Off-shore,0.0,241.0,-1.0,-1,-122.9,22.1,4.0
Green Tropical Cyclone KYANT-16 off-shore from: 25 Oct 2016  to: 26 Oct 2016 .,Green,1.0,Green,1.0,2016-10-25 00:00:00,2016-10-26 18:00:00,111.1104,Tropical Depression (maximum wind speed of 93 km/h),JTWC,-1,n.a,Off-shore,0.0,111.0,0.5,-1,86.1,15.9,-1.0
"Orange Tropical Cyclone NADA-16 in Sri Lanka, India from: 29 Nov 2016  to: 01 Dec 2016 .",Orange,2.0,Orange,2.0,2016-11-29 18:00:00,2016-12-01 12:00:00,92.592,Tropical Storm (maximum wind speed of 83 km/h),JTWC,LKA,n.a,"Sri Lanka, India",0.0,93.0,-1.0,High,80.7,10.5,-1.0
Green Tropical Cyclone TOKAGE-16 in Philippines from: 24 Nov 2016  to: 28 Nov 2016 .,Green,1.0,Green,1.0,2016-11-24 12:00:00,2016-11-28 06:00:00,111.1104,Tropical Depression (maximum wind speed of 93 km/h),JTWC,PHL,n.a,Philippines,0.0,111.0,0.2,Medium,117.3,16.5,-1.0
"Orange Tropical Cyclone OTTO-16 in Nicaragua, Costa Rica from: 21 Nov 2016  to: 26 Nov 2016 .",Orange,2.0,Green,1.0,2016-11-21 09:00:00,2016-11-26 12:00:00,175.9248,Tropical Storm (maximum wind speed of 176 km/h),NOAA,NIC,n.a,"Nicaragua, Costa Rica",60000.0,176.0,0.8,Medium,-94.0,9.0,2.0
Red Tropical Cyclone NOCK-TEN-16 in Philippines from: 21 Dec 2016  to: 28 Dec 2016 .,Red,3.0,Green,1.0,2016-12-21 06:00:00,2016-12-28 00:00:00,249.9984,Tropical Depression (maximum wind speed of 250 km/h),JTWC,PHL,n.a,Philippines,400000.0,250.0,1.7,Medium,113.3,12.9,4.0
Green Tropical Cyclone THREE-17 in Australia from: 27 Jan 2017  to: 29 Jan 2017 .,Green,1.0,Green,1.0,2017-01-27 06:00:00,2017-01-29 06:00:00,101.8512,Tropical Depression (maximum wind speed of 83 km/h),JTWC,AUS,n.a,Australia,0.0,102.0,-1.0,Low,109.6,-19.3,-1.0
"Green Tropical Cyclone EIGHT-17 in Niue, Tonga from: 22 Feb 2017  to: 22 Feb 2017 .",Green,1.0,Green,1.0,2017-02-22 00:00:00,2017-02-22 18:00:00,74.0736,Tropical Storm (maximum wind speed of 74 km/h),JTWC,NIU,n.a,"Niue, Tonga",0.0,74.0,-1.0,High,-163.7,-26.6,-1.0
Green Tropical Cyclone DEBBIE-17 in Australia from: 24 Mar 2017  to: 28 Mar 2017 .,Green,1.0,Green,1.0,2017-03-24 18:00:00,2017-03-28 06:00:00,212.9616,Hurricane/Typhoon > 74 mph (maximum wind speed of 185 km/h),JTWC,AUS,n.a,Australia,0.0,213.0,1.6,Low,148.5,-20.4,4.0
Green Tropical Cyclone CALEB-17 off-shore from: 23 Mar 2017  to: 27 Mar 2017 .,Green,1.0,Green,1.0,2017-03-23 06:00:00,2017-03-27 06:00:00,92.592,Tropical Storm (maximum wind speed of 83 km/h),JTWC,-1,n.a,Off-shore,0.0,93.0,-1.0,-1,97.3,-15.4,-1.0
Green Tropical Cyclone FRANCES-17 off-shore from: 27 Apr 2017  to: 30 Apr 2017 .,Green,1.0,Green,1.0,2017-04-27 00:00:00,2017-04-30 00:00:00,138.888,Tropical Storm (maximum wind speed of 130 km/h),JTWC,-1,n.a,Off-shore,0.0,139.0,0.2,-1,122.1,-13.4,1.0
Green Tropical Cyclone MUIFA-17 off-shore from: 24 Apr 2017  to: 27 Apr 2017 .,Green,1.0,Green,1.0,2017-04-24 18:00:00,2017-04-27 18:00:00,92.592,Tropical Depression (maximum wind speed of 74 km/h),JTWC,-1,n.a,Off-shore,0.0,93.0,-1.0,-1,134.7,17.9,-1.0
Green Tropical Cyclone BEATRIZ-17 in Mexico from: 31 May 2017  to: 02 Jun 2017 .,Green,1.0,Green,1.0,2017-05-31 15:00:00,2017-06-02 12:00:00,92.592,Tropical Depression (maximum wind speed of 74 km/h),JTWC,MEX,n.a,Mexico,0.0,93.0,-1.0,Medium,-96.2,16.9,-1.0
"Red Tropical Cyclone MORA-17 in Bangladesh, India from: 27 May 2017  to: 30 May 2017 .",Red,3.0,Orange,2.0,2017-05-27 18:00:00,2017-05-30 06:00:00,120.3696,Tropical Storm (maximum wind speed of 120 km/h),JTWC,BGD,n.a,"Bangladesh, India",11300000.0,120.0,2.0,High,92.0,22.9,1.0
Green Tropical Cyclone DORA-17 in Mexico from: 25 Jun 2017  to: 28 Jun 2017 .,Green,1.0,Green,1.0,2017-06-25 03:00:00,2017-06-28 12:00:00,148.1472,Tropical Depression (maximum wind speed of 148 km/h),JTWC,MEX,n.a,Mexico,0.0,148.0,-1.0,Medium,-113.5,19.9,1.0
Green Tropical Cyclone CINDY-17 in United States from: 20 Jun 2017  to: 22 Jun 2017 .,Green,1.0,Green,1.0,2017-06-20 21:00:00,2017-06-22 15:00:00,92.592,Tropical Depression (maximum wind speed of 93 km/h),NOAA,USA,n.a,United States,0.0,93.0,-1.0,Low,-93.5,31.0,-1.0
Green Tropical Cyclone NORU-17 in Japan from: 20 Jul 2017  to: 08 Aug 2017 .,Green,1.0,Green,1.0,2017-07-20 18:00:00,2017-08-08 12:00:00,268.5168,Tropical Depression (maximum wind speed of 259 km/h),JTWC,JPN,n.a,Japan,0.0,269.0,1.4,Low,139.1,38.4,5.0
Green Tropical Cyclone EMILY-17 in United States from: 31 Jul 2017  to: 01 Aug 2017 .,Green,1.0,Green,1.0,2017-07-31 10:00:00,2017-08-01 21:00:00,74.0736,Tropical Depression (maximum wind speed of 74 km/h),NOAA,USA,n.a,United States,0.0,74.0,-1.0,Low,-77.7,30.3,-1.0
Green Tropical Cyclone IRWIN-17 off-shore from: 22 Jul 2017  to: 01 Aug 2017 .,Green,1.0,Green,1.0,2017-07-22 15:00:00,2017-08-01 18:00:00,148.1472,Tropical Depression (maximum wind speed of 139 km/h),JTWC,-1,n.a,Off-shore,0.0,148.0,-1.0,-1,-129.5,26.3,1.0
"Green Tropical Cyclone HAITANG-17 in China, Philippines from: 28 Jul 2017  to: 31 Jul 2017 .",Green,1.0,Green,1.0,2017-07-28 06:00:00,2017-07-31 00:00:00,83.3328,Tropical Depression (maximum wind speed of 74 km/h),JTWC,CHN,n.a,"China, Philippines",0.0,83.0,-1.0,Medium,119.2,25.7,-1.0
Green Tropical Cyclone HILARY-17 off-shore from: 21 Jul 2017  to: 31 Jul 2017 .,Green,1.0,Green,1.0,2017-07-21 15:00:00,2017-07-31 00:00:00,212.9616,Tropical Depression (maximum wind speed of 167 km/h),JTWC,-1,n.a,Off-shore,0.0,213.0,-1.0,-1,-127.9,25.3,4.0
Orange Tropical Cyclone NESAT-17 in China from: 26 Jul 2017  to: 30 Jul 2017 .,Orange,2.0,Green,1.0,2017-07-26 00:00:00,2017-07-30 00:00:00,166.6656,Tropical Storm (maximum wind speed of 148 km/h),JTWC,CHN,n.a,China,450000.0,167.0,1.5,Medium,119.3,25.9,2.0
Green Tropical Cyclone GREG-17 off-shore from: 17 Jul 2017  to: 26 Jul 2017 .,Green,1.0,Green,1.0,2017-07-17 15:00:00,2017-07-26 18:00:00,129.6288,Tropical Depression (maximum wind speed of 93 km/h),JTWC,-1,n.a,Off-shore,0.0,130.0,-1.0,-1,-141.6,18.3,1.0
Green Tropical Cyclone KULAP-17 off-shore from: 21 Jul 2017  to: 26 Jul 2017 .,Green,1.0,Green,1.0,2017-07-21 06:00:00,2017-07-26 00:00:00,92.592,Tropical Depression (maximum wind speed of 93 km/h),JTWC,-1,n.a,Off-shore,0.0,93.0,-1.0,-1,151.1,31.7,-1.0
"Green Tropical Cyclone SONCA-17 in Viet Nam, Laos, Thailand from: 21 Jul 2017  to: 25 Jul 2017 .",Green,1.0,Green,1.0,2017-07-21 00:00:00,2017-07-25 06:00:00,101.8512,Tropical Storm (maximum wind speed of 83 km/h),JTWC,VNM,n.a,"Viet Nam, Laos, Thailand",0.0,102.0,-1.0,High,107.2,17.0,-1.0
"Red Tropical Cyclone IRMA-17 in United States, Bahamas, Cuba, Turks and Caicos Islands, Dominican Republic, Puerto Rico, Virgin Islands, U.S., British, Anguilla, Saint Kitts and Nevis, Antigua and Barbuda, Guadeloupe, Montserrat, from: 30 Aug 2017  to: 12 Sep 2017 .",Red,3.0,Green,1.0,2017-08-30 15:00:00,2017-09-12 03:00:00,296.2944,Tropical Depression (maximum wind speed of 296 km/h),NOAA,AIA,n.a,"United States, Bahamas, Cuba, Turks and Caicos Islands, Dominican Republic, Puerto Rico, Virgin Islands, U.S., British, Anguilla, Saint Kitts and Nevis, Antigua and Barbuda, Guadeloupe, Montserrat, ",16399999.999999998,296.0,3.1,Medium,-84.9,32.4,5.0
Green Tropical Cyclone MAWAR-17 in China from: 31 Aug 2017  to: 03 Sep 2017 .,Green,1.0,Green,1.0,2017-08-31 18:00:00,2017-09-03 18:00:00,120.3696,Tropical Depression (maximum wind speed of 83 km/h),JTWC,CHN,n.a,China,0.0,120.0,0.5,Medium,115.6,23.1,1.0
Green Tropical Cyclone LIDIA-17 in Mexico from: 29 Aug 2017  to: 03 Sep 2017 .,Green,1.0,Green,1.0,2017-08-29 18:00:00,2017-09-03 06:00:00,111.1104,Tropical Depression (maximum wind speed of 102 km/h),JTWC,MEX,n.a,Mexico,0.0,111.0,0.5,Medium,-115.9,29.3,-1.0
Green Tropical Cyclone SANVU-17 off-shore from: 28 Aug 2017  to: 02 Sep 2017 .,Green,1.0,Green,1.0,2017-08-28 12:00:00,2017-09-02 18:00:00,212.9616,Tropical Storm (maximum wind speed of 167 km/h),JTWC,-1,n.a,Off-shore,0.0,213.0,0.6,-1,148.2,35.3,4.0
Orange Tropical Cyclone HARVEY-17 in United States from: 17 Aug 2017  to: 31 Aug 2017 .,Orange,2.0,Green,1.0,2017-08-17 15:00:00,2017-08-31 03:00:00,212.9616,Tropical Depression (maximum wind speed of 213 km/h),NOAA,USA,n.a,United States,500000.0,213.0,1.6,Low,-92.3,31.7,4.0
"Green Tropical Cyclone PAKHAR-17 in China, Philippines from: 24 Aug 2017  to: 27 Aug 2017 .",Green,1.0,Green,1.0,2017-08-24 12:00:00,2017-08-27 00:00:00,138.888,Tropical Storm (maximum wind speed of 102 km/h),JTWC,CHN,n.a,"China, Philippines",0.0,139.0,1.6,Medium,113.4,21.8,1.0
Green Tropical Cyclone KENNETH-17 off-shore from: 18 Aug 2017  to: 23 Aug 2017 .,Green,1.0,Green,1.0,2017-08-18 15:00:00,2017-08-23 18:00:00,212.9616,Tropical Storm (maximum wind speed of 213 km/h),NOAA,-1,n.a,Off-shore,0.0,213.0,-1.0,-1,-135.6,25.4,4.0
Orange Tropical Cyclone HATO-17 in China from: 20 Aug 2017  to: 23 Aug 2017 .,Orange,2.0,Orange,2.0,2017-08-20 00:00:00,2017-08-23 06:00:00,157.4064,Hurricane/Typhoon > 74 mph (maximum wind speed of 157 km/h),JTWC,CHN,n.a,China,7500000.0,157.0,1.8,Medium,112.9,22.2,2.0
Red Tropical Cyclone MARIA-17 in Virgin IslandsU.S.GuadeloupePuerto RicoDominicaTurks and Caicos IslandsDominican RepublicMartiniqueAntigua and BarbudaMontserratSaint Kitts and NevisAnguillaBritish from: 16 Sep 2017  to: 30 Sep 2017 .,Red,3.0,Green,1.0,2017-09-16 21:00:00,2017-09-30 21:00:00,277.776,Tropical Storm (maximum wind speed of 278 km/h),NOAA,-1,n.a,Virgin IslandsU.S.GuadeloupePuerto RicoDominicaTurks and Caicos IslandsDominican RepublicMartiniqueAntigua and BarbudaMontserratSaint Kitts and NevisAnguillaBritish,2700000.0,278.0,0.8,-1,-43.9,42.0,5.0
Green Tropical Cyclone LEE-17 off-shore from: 15 Sep 2017  to: 30 Sep 2017 .,Green,1.0,Green,1.0,2017-09-15 03:00:00,2017-09-30 09:00:00,185.184,Tropical Storm (maximum wind speed of 185 km/h),NOAA,-1,n.a,Off-shore,0.0,185.0,-1.0,-1,-35.6,46.7,3.0
